_ID;housing;marital;campaign;education;poutcome;balance;contact;y;duration;default;day;age;loan;previous;job;month;pdays
1014;yes;married;4;secondary;unknown;470;cellular;no;101;no;31;36;no;0;admin.;jul;-1
1015;yes;married;13;secondary;unknown;520;unknown;no;15;no;20;43;no;0;retired;may;-1
1016;yes;married;5;secondary;unknown;439;unknown;no;260;no;21;36;no;0;blue-collar;may;-1
1018;no;married;4;secondary;unknown;466;unknown;no;287;no;17;55;no;0;retired;jun;-1
1022;yes;married;1;secondary;unknown;1243;unknown;no;32;no;21;31;no;0;blue-collar;may;-1
1023;yes;married;1;tertiary;unknown;0;unknown;no;138;no;5;32;no;0;admin.;may;-1
1024;yes;married;2;secondary;unknown;2357;unknown;no;228;no;17;36;no;0;blue-collar;jun;-1
1026;yes;married;2;secondary;unknown;1069;unknown;no;45;no;8;46;no;0;admin.;may;-1
1027;no;single;2;secondary;unknown;231;cellular;no;76;no;9;41;no;0;housemaid;jul;-1
1028;yes;married;2;secondary;unknown;0;unknown;no;144;no;6;31;yes;0;admin.;may;-1
1029;yes;married;2;secondary;unknown;266;cellular;no;168;no;19;32;no;0;technician;aug;-1
1030;yes;married;1;tertiary;other;-70;cellular;no;140;no;30;38;no;3;management;jan;2
1031;no;single;1;primary;unknown;25824;unknown;no;94;no;17;49;no;0;retired;jun;-1
1032;no;single;3;primary;unknown;538;unknown;no;118;no;17;46;no;0;management;jun;-1
1033;yes;single;1;secondary;unknown;534;cellular;no;382;no;18;29;no;0;technician;may;-1
1034;no;married;1;unknown;unknown;2323;cellular;no;111;no;19;36;no;0;admin.;nov;-1
1035;yes;married;2;secondary;unknown;1852;cellular;no;298;no;15;38;no;0;admin.;may;-1
1036;yes;married;1;secondary;unknown;2647;unknown;no;121;no;30;53;no;0;technician;may;-1
1037;yes;married;7;tertiary;unknown;2767;unknown;no;317;no;15;43;no;0;management;may;-1
1038;yes;married;1;tertiary;unknown;176;unknown;no;42;no;5;41;yes;0;management;may;-1
1039;no;single;2;secondary;unknown;9720;cellular;no;81;no;5;42;no;0;management;aug;-1
1041;yes;divorced;2;secondary;unknown;2903;telephone;no;259;no;25;39;yes;0;admin.;jul;-1
1042;yes;single;6;secondary;other;81;cellular;no;121;no;6;30;no;3;admin.;aug;112
1043;yes;married;3;secondary;unknown;780;cellular;no;432;no;15;41;no;0;blue-collar;may;-1
1044;no;married;2;tertiary;unknown;178;cellular;no;126;no;8;44;no;0;unemployed;aug;-1
1045;no;married;4;tertiary;unknown;299;cellular;no;120;no;16;58;no;0;management;jul;-1
1046;yes;married;1;primary;unknown;285;cellular;no;136;no;29;35;no;0;retired;jan;-1
1047;yes;married;3;secondary;unknown;872;cellular;no;1130;no;17;27;no;0;blue-collar;apr;-1
1049;yes;married;2;secondary;unknown;72;cellular;no;305;no;23;25;no;0;services;jul;-1
1050;no;married;3;secondary;unknown;0;unknown;no;332;no;20;36;no;0;blue-collar;jun;-1
1051;yes;married;1;secondary;unknown;-388;unknown;no;412;no;9;38;no;0;blue-collar;may;-1
1052;yes;married;1;secondary;unknown;11;cellular;no;157;no;11;30;no;0;admin.;may;-1
1053;yes;divorced;2;secondary;unknown;-535;cellular;no;71;yes;30;47;no;0;blue-collar;jul;-1
1054;yes;divorced;2;secondary;unknown;787;cellular;no;297;no;8;41;no;0;services;may;-1
1055;no;single;1;tertiary;unknown;3343;cellular;no;307;no;18;36;no;0;management;nov;-1
1057;yes;single;1;tertiary;unknown;736;cellular;no;119;no;30;23;no;0;management;apr;-1
1058;no;married;2;tertiary;unknown;1390;cellular;no;116;no;7;32;no;0;management;aug;-1
1059;no;married;1;primary;unknown;808;telephone;no;274;no;7;57;no;0;retired;jul;-1
1061;no;married;1;secondary;unknown;1122;cellular;no;143;no;4;49;no;0;services;aug;-1
1062;yes;married;2;secondary;unknown;-568;unknown;no;860;no;28;50;yes;0;technician;may;-1
1063;yes;married;2;primary;unknown;1165;unknown;no;420;no;21;33;no;0;blue-collar;may;-1
1064;yes;divorced;1;secondary;unknown;-905;unknown;no;213;no;28;53;no;0;services;may;-1
1065;yes;married;1;tertiary;unknown;0;cellular;no;756;no;18;30;no;0;unemployed;nov;-1
1066;no;married;3;secondary;unknown;740;cellular;no;259;no;7;38;no;0;technician;aug;-1
1067;yes;married;16;secondary;unknown;8262;cellular;no;201;no;23;44;no;0;management;jul;-1
1068;yes;single;9;secondary;unknown;14;unknown;no;19;no;13;39;yes;0;admin.;may;-1
1069;yes;single;1;unknown;failure;7108;cellular;no;53;no;18;45;yes;3;technician;nov;172
1071;yes;married;5;secondary;other;0;cellular;no;57;no;13;38;no;1;blue-collar;may;349
1072;yes;married;1;secondary;unknown;419;unknown;no;251;no;30;36;no;0;housemaid;may;-1
1073;yes;single;1;tertiary;failure;726;cellular;no;39;no;16;30;no;3;management;apr;342
1074;yes;divorced;3;tertiary;unknown;594;unknown;no;54;no;18;28;yes;0;technician;jun;-1
1075;yes;married;18;tertiary;unknown;454;unknown;no;28;no;23;26;yes;0;unemployed;may;-1
1078;no;single;2;tertiary;unknown;0;cellular;no;268;no;7;32;no;0;technician;aug;-1
1079;no;divorced;1;secondary;unknown;202;cellular;no;148;no;17;50;yes;0;admin.;nov;-1
1080;yes;married;3;secondary;unknown;667;unknown;no;228;no;7;43;no;0;blue-collar;may;-1
1081;no;married;5;secondary;unknown;112;cellular;no;139;no;18;48;no;0;admin.;aug;-1
1082;no;married;3;primary;unknown;50;cellular;no;89;no;18;57;no;0;housemaid;aug;-1
1083;no;married;2;primary;success;768;cellular;no;250;no;15;64;no;1;housemaid;jul;182
1084;yes;divorced;6;secondary;unknown;74;unknown;no;106;no;23;26;no;0;services;may;-1
1086;no;married;3;secondary;unknown;3025;cellular;no;168;no;6;50;yes;0;self-employed;aug;-1
1087;no;married;14;tertiary;unknown;751;cellular;no;408;no;24;47;no;0;self-employed;jul;-1
1088;no;single;4;tertiary;unknown;416;cellular;no;56;no;23;39;no;0;management;oct;-1
1089;no;married;5;primary;unknown;14;cellular;no;55;no;28;52;yes;0;services;jul;-1
1090;yes;single;4;primary;unknown;-502;unknown;no;76;no;29;31;no;0;blue-collar;may;-1
1091;no;married;5;primary;unknown;0;cellular;no;72;no;11;50;no;0;blue-collar;aug;-1
1092;yes;married;3;secondary;unknown;599;cellular;no;99;no;13;47;no;0;technician;aug;-1
1093;yes;single;15;tertiary;unknown;-218;cellular;no;13;no;27;30;no;0;management;aug;-1
1094;no;single;1;tertiary;unknown;1012;cellular;no;178;no;14;32;no;0;technician;apr;-1
1095;no;married;1;secondary;unknown;300;unknown;no;287;no;9;36;no;0;technician;jun;-1
1096;yes;married;1;tertiary;other;217;cellular;no;141;no;14;46;no;2;technician;may;346
1097;no;divorced;1;tertiary;failure;2096;cellular;no;127;no;21;45;no;2;management;nov;100
1098;no;single;2;secondary;unknown;0;cellular;no;69;no;4;37;no;0;technician;aug;-1
1099;yes;married;4;primary;unknown;5278;unknown;no;763;no;4;58;no;0;housemaid;jun;-1
1100;no;married;1;tertiary;failure;1831;cellular;no;122;no;17;59;no;1;management;feb;92
1101;yes;married;1;tertiary;unknown;1480;cellular;no;143;no;18;28;no;0;management;may;-1
1102;yes;married;3;tertiary;unknown;7289;cellular;no;316;no;2;48;no;0;management;feb;-1
1103;no;married;2;unknown;unknown;1665;telephone;no;89;no;30;55;no;0;blue-collar;jul;-1
1104;yes;single;1;primary;failure;851;cellular;no;151;no;15;37;no;1;blue-collar;may;352
1105;no;married;1;tertiary;unknown;2885;cellular;no;40;no;19;41;no;0;management;nov;-1
1106;no;married;1;secondary;failure;137;unknown;no;5;no;4;35;yes;12;blue-collar;oct;808
1107;yes;single;1;secondary;unknown;1239;cellular;no;90;no;18;34;no;0;blue-collar;jul;-1
1108;no;single;1;tertiary;other;146;cellular;no;50;no;21;43;no;5;management;nov;113
1110;no;divorced;6;primary;unknown;-10;cellular;no;369;no;10;50;yes;0;blue-collar;jul;-1
1112;yes;married;2;secondary;failure;2789;cellular;no;256;no;4;35;no;1;technician;sep;94
1113;no;single;1;secondary;unknown;3897;cellular;no;298;no;26;50;no;0;technician;oct;-1
1114;no;divorced;3;secondary;unknown;487;cellular;no;268;no;11;36;yes;0;technician;aug;-1
1115;yes;married;1;secondary;unknown;5110;cellular;no;231;no;13;41;no;0;admin.;apr;-1
1116;yes;married;4;tertiary;unknown;318;unknown;no;4;no;27;28;no;0;management;may;-1
1117;yes;single;5;tertiary;failure;-411;cellular;no;78;no;12;42;no;3;technician;may;292
1118;no;married;1;secondary;unknown;4820;unknown;no;419;no;5;60;no;0;retired;jun;-1
1119;yes;single;3;tertiary;unknown;4937;telephone;no;421;no;13;28;no;0;management;may;-1
1120;no;married;1;secondary;unknown;725;cellular;no;105;no;10;48;yes;0;entrepreneur;jul;-1
1121;no;married;1;tertiary;unknown;5403;unknown;no;42;no;6;51;no;0;entrepreneur;jun;-1
1122;no;married;7;tertiary;failure;4089;cellular;no;114;no;26;32;no;3;technician;may;287
1123;no;married;2;tertiary;unknown;188;cellular;no;286;no;26;35;no;0;technician;aug;-1
1125;yes;divorced;1;secondary;unknown;2998;unknown;no;91;no;11;38;no;0;blue-collar;jun;-1
1126;no;married;3;secondary;unknown;610;cellular;no;766;no;13;77;no;0;retired;aug;-1
1127;no;single;1;unknown;unknown;787;cellular;no;92;no;28;32;no;0;management;jan;-1
1128;no;divorced;3;secondary;unknown;167;cellular;no;211;no;4;43;no;0;technician;aug;-1
1129;yes;single;2;tertiary;failure;243;cellular;no;160;no;7;36;no;3;management;may;360
1130;no;married;3;tertiary;unknown;877;cellular;no;166;no;3;29;no;0;management;feb;-1
1131;yes;single;1;secondary;unknown;2817;cellular;no;195;no;21;32;no;0;admin.;nov;-1
1132;yes;divorced;1;tertiary;unknown;4567;cellular;no;106;no;16;41;yes;0;management;jul;-1
1133;yes;single;3;secondary;unknown;127;cellular;no;85;no;23;26;yes;0;services;jul;-1
1134;no;married;1;primary;unknown;176;cellular;no;78;no;24;34;no;0;blue-collar;jul;-1
1136;yes;single;2;secondary;other;1482;cellular;no;177;no;18;36;no;1;services;nov;174
1137;yes;married;1;secondary;unknown;3052;unknown;no;32;no;27;42;no;0;blue-collar;may;-1
1138;no;divorced;12;secondary;unknown;56;cellular;no;24;no;29;35;no;0;technician;aug;-1
1139;yes;divorced;2;primary;unknown;278;unknown;no;688;no;7;52;no;0;entrepreneur;may;-1
1140;yes;single;5;tertiary;unknown;3875;unknown;no;21;no;27;36;no;0;management;may;-1
1141;yes;married;1;secondary;unknown;-337;unknown;no;112;no;27;46;no;0;technician;may;-1
1143;yes;married;2;primary;unknown;501;cellular;no;59;no;7;57;yes;0;housemaid;aug;-1
1144;yes;married;3;tertiary;unknown;998;cellular;no;121;no;29;48;no;0;management;jan;-1
1145;yes;married;2;primary;unknown;0;telephone;no;97;no;28;59;no;0;self-employed;jul;-1
1146;no;married;2;tertiary;unknown;246;cellular;no;86;no;11;39;no;0;management;aug;-1
1147;yes;married;10;secondary;unknown;-182;cellular;no;10;no;14;44;yes;0;blue-collar;may;-1
1148;no;single;3;tertiary;unknown;446;cellular;no;205;no;23;27;no;0;management;jun;-1
1149;no;married;2;secondary;unknown;1173;unknown;no;77;no;9;59;no;0;retired;jun;-1
1150;yes;divorced;2;secondary;unknown;5957;cellular;no;138;no;18;36;no;0;technician;nov;-1
1152;no;married;4;secondary;unknown;0;cellular;no;86;no;4;50;no;0;admin.;aug;-1
1153;yes;divorced;3;tertiary;unknown;369;telephone;no;9;no;22;41;no;0;management;aug;-1
1154;no;married;1;secondary;failure;1934;cellular;no;225;no;14;47;yes;1;admin.;may;364
1155;no;single;4;tertiary;unknown;259;cellular;no;407;no;22;32;no;0;technician;jul;-1
1156;yes;married;6;secondary;unknown;284;unknown;no;1030;no;3;38;yes;0;blue-collar;jun;-1
1157;no;married;2;unknown;unknown;23;cellular;no;123;no;13;55;no;0;blue-collar;aug;-1
1158;no;single;4;tertiary;unknown;1373;cellular;no;119;no;22;38;no;0;management;oct;-1
1159;yes;single;1;tertiary;failure;62;cellular;no;175;no;18;31;no;5;management;may;293
1160;no;divorced;5;secondary;unknown;157;unknown;no;299;no;9;38;no;0;blue-collar;jun;-1
1161;no;single;1;tertiary;unknown;991;cellular;no;563;no;5;29;no;0;unemployed;feb;-1
1162;yes;married;1;secondary;unknown;186;unknown;no;241;no;9;55;yes;0;services;may;-1
1163;yes;married;4;secondary;other;977;cellular;no;52;no;4;35;no;1;unemployed;may;91
1164;no;single;3;tertiary;unknown;2893;cellular;no;76;no;2;40;no;0;self-employed;jun;-1
1165;yes;married;1;secondary;unknown;1897;cellular;no;441;no;19;34;yes;0;blue-collar;nov;-1
1167;yes;married;1;secondary;success;889;unknown;no;13;no;18;33;no;6;blue-collar;sep;373
1169;no;married;2;secondary;unknown;1193;cellular;no;396;no;12;37;no;0;admin.;may;-1
1170;no;married;1;tertiary;unknown;2729;unknown;no;188;no;18;58;no;0;management;jun;-1
1171;no;single;1;secondary;unknown;0;cellular;no;637;no;20;36;no;0;admin.;apr;-1
1172;yes;married;7;secondary;unknown;230;unknown;no;175;no;5;42;no;0;blue-collar;jun;-1
1173;yes;single;1;secondary;success;2729;cellular;no;945;no;6;34;no;1;technician;apr;139
1174;yes;married;3;tertiary;unknown;317;unknown;no;162;no;23;35;no;0;management;may;-1
1175;no;married;3;primary;unknown;517;unknown;no;1178;no;12;60;no;0;housemaid;jun;-1
1176;yes;married;2;tertiary;failure;-470;cellular;no;506;no;8;50;no;3;management;may;170
1178;yes;divorced;3;secondary;unknown;1;cellular;no;116;no;14;27;no;0;blue-collar;jul;-1
1182;yes;married;2;tertiary;unknown;126;unknown;no;164;no;21;38;no;0;management;may;-1
1183;yes;married;3;secondary;unknown;-33;unknown;no;234;no;28;32;no;0;self-employed;may;-1
1184;no;married;4;secondary;unknown;430;cellular;no;154;no;27;37;no;0;technician;aug;-1
1185;yes;married;2;secondary;unknown;-6;unknown;no;566;no;7;33;no;0;admin.;may;-1
1186;no;married;2;tertiary;success;383;cellular;no;327;no;27;71;no;3;technician;oct;183
1187;yes;married;3;secondary;unknown;130;cellular;no;265;no;7;27;no;0;technician;may;-1
1188;no;married;1;primary;unknown;2569;unknown;no;172;no;9;38;no;0;blue-collar;jun;-1
1189;no;single;2;secondary;unknown;201;cellular;no;257;no;22;34;no;0;technician;jul;-1
1191;yes;married;3;secondary;unknown;6;cellular;no;241;no;28;30;no;0;blue-collar;jan;-1
1192;no;single;4;secondary;unknown;475;cellular;no;936;no;21;35;yes;0;entrepreneur;jul;-1
1193;yes;single;1;secondary;failure;706;cellular;no;329;no;7;33;no;1;blue-collar;apr;322
1194;yes;married;1;secondary;failure;1825;cellular;no;24;no;14;36;no;1;management;may;346
1195;no;married;5;tertiary;failure;185;cellular;no;177;no;22;59;no;1;self-employed;jun;138
1196;no;married;1;primary;unknown;4415;telephone;no;120;no;13;72;no;0;blue-collar;oct;-1
1197;no;married;3;tertiary;unknown;679;telephone;no;135;no;22;64;no;0;management;apr;-1
1198;no;divorced;1;secondary;unknown;320;cellular;no;175;no;9;53;no;0;technician;jul;-1
1199;yes;single;1;tertiary;unknown;2988;cellular;no;179;no;25;35;no;0;management;may;-1
1200;yes;married;1;secondary;unknown;1407;unknown;no;58;no;30;58;no;0;self-employed;may;-1
1201;no;married;2;secondary;unknown;1270;cellular;no;342;no;17;40;no;0;technician;apr;-1
1202;yes;divorced;2;secondary;unknown;654;cellular;no;139;no;13;41;no;0;services;may;-1
1203;yes;married;8;primary;unknown;5173;unknown;no;88;no;18;48;no;0;retired;jun;-1
1204;yes;married;3;tertiary;unknown;3463;cellular;no;210;no;28;44;yes;0;entrepreneur;aug;-1
1205;no;married;1;unknown;failure;0;cellular;no;731;no;2;39;no;3;blue-collar;feb;193
1207;yes;married;5;primary;unknown;177;unknown;no;63;no;12;36;no;0;entrepreneur;may;-1
1208;no;married;2;tertiary;unknown;3694;cellular;no;70;no;8;28;yes;0;management;jul;-1
1209;no;single;6;secondary;failure;1640;cellular;no;72;no;4;58;yes;4;retired;feb;274
1210;yes;divorced;1;secondary;failure;174;cellular;no;241;no;15;60;no;1;admin.;may;364
1211;no;single;4;secondary;unknown;10177;cellular;no;272;no;5;66;no;0;admin.;may;-1
1213;yes;married;6;secondary;unknown;2576;cellular;no;64;no;15;49;no;0;self-employed;may;-1
1214;no;married;2;secondary;unknown;0;unknown;no;543;no;12;40;no;0;services;jun;-1
1215;no;single;1;secondary;unknown;598;cellular;no;166;no;30;23;no;0;technician;apr;-1
1216;no;single;3;tertiary;success;15459;cellular;no;245;no;26;29;no;7;management;may;97
1217;yes;married;1;primary;unknown;271;unknown;no;94;no;9;44;yes;0;blue-collar;may;-1
1218;no;married;8;unknown;unknown;2508;unknown;no;34;no;20;54;no;0;unknown;jun;-1
1219;no;married;2;primary;unknown;320;telephone;no;203;no;30;47;no;0;blue-collar;jul;-1
1220;no;married;1;tertiary;unknown;640;cellular;no;318;no;24;33;no;0;admin.;jul;-1
1221;yes;married;4;secondary;unknown;1772;cellular;no;158;no;13;30;no;0;self-employed;apr;-1
1222;no;single;1;secondary;unknown;15;cellular;no;177;no;21;27;yes;0;admin.;jul;-1
1223;yes;divorced;1;tertiary;other;2370;unknown;no;56;no;17;49;yes;2;management;nov;103
1224;yes;single;2;secondary;unknown;201;unknown;no;172;no;4;27;no;0;services;jun;-1
1225;yes;married;1;secondary;failure;160;cellular;no;136;no;7;51;no;1;blue-collar;may;359
1226;yes;divorced;3;secondary;other;5;cellular;no;82;yes;18;32;yes;2;admin.;may;363
1227;yes;single;1;secondary;unknown;75;unknown;no;123;no;16;30;no;0;blue-collar;may;-1
1228;yes;married;1;secondary;unknown;4902;cellular;no;110;no;20;33;no;0;admin.;nov;-1
1229;yes;single;5;primary;unknown;-79;unknown;no;385;no;30;27;no;0;blue-collar;may;-1
1231;yes;divorced;1;secondary;unknown;490;cellular;no;73;no;2;37;no;0;services;feb;-1
1232;yes;single;2;secondary;unknown;1521;unknown;no;243;no;16;36;no;0;technician;jun;-1
1233;yes;married;2;secondary;unknown;131;unknown;no;137;no;9;37;no;0;blue-collar;may;-1
1234;yes;married;4;tertiary;unknown;8;unknown;no;55;no;23;35;no;0;management;may;-1
1235;yes;married;5;secondary;unknown;-632;cellular;no;18;no;20;32;yes;0;services;apr;-1
1236;no;single;2;secondary;unknown;116;cellular;no;255;no;16;32;yes;0;admin.;jul;-1
1237;yes;married;1;primary;unknown;189;cellular;no;95;no;11;35;no;0;admin.;may;-1
1238;yes;married;1;primary;unknown;2;cellular;no;112;no;10;31;yes;0;blue-collar;jul;-1
1239;yes;single;2;secondary;unknown;4229;cellular;no;205;no;5;28;yes;0;blue-collar;may;-1
1240;yes;married;1;secondary;failure;54;cellular;no;97;no;18;27;no;1;services;may;370
1241;no;single;1;unknown;unknown;549;cellular;no;154;no;2;22;no;0;student;sep;-1
1242;yes;married;2;primary;failure;298;cellular;no;135;no;13;35;no;2;blue-collar;may;370
1243;no;married;1;primary;unknown;579;cellular;no;230;no;14;69;no;0;retired;aug;-1
1244;yes;single;1;tertiary;unknown;1467;cellular;no;349;no;17;37;yes;0;entrepreneur;nov;-1
1245;yes;single;1;secondary;unknown;0;cellular;no;38;no;8;45;no;0;admin.;may;-1
1246;yes;married;1;tertiary;unknown;109;cellular;no;268;no;22;47;no;0;management;jul;-1
1247;yes;married;4;tertiary;unknown;-11;cellular;no;94;no;11;52;no;0;management;may;-1
1248;yes;married;2;secondary;unknown;90;cellular;no;263;no;28;33;no;0;services;jul;-1
1250;yes;divorced;1;secondary;unknown;1897;unknown;no;197;no;2;33;yes;0;management;jun;-1
1251;yes;married;2;secondary;unknown;2403;cellular;no;180;no;28;44;no;0;admin.;jan;-1
1252;no;married;2;secondary;unknown;868;cellular;no;452;no;20;38;no;0;entrepreneur;nov;-1
1253;yes;married;1;secondary;unknown;653;unknown;no;352;no;15;54;no;0;entrepreneur;may;-1
1254;no;divorced;4;primary;unknown;0;cellular;no;175;no;15;32;no;0;unemployed;jul;-1
1255;yes;married;2;secondary;unknown;0;cellular;no;163;no;19;33;yes;0;technician;nov;-1
1256;yes;divorced;2;secondary;unknown;218;unknown;no;200;no;29;55;no;0;services;may;-1
1257;no;married;7;primary;unknown;5050;unknown;no;75;no;16;51;yes;0;blue-collar;jun;-1
1258;yes;married;1;secondary;unknown;741;cellular;no;227;no;16;48;no;0;blue-collar;apr;-1
1259;yes;single;3;secondary;unknown;1050;cellular;no;586;no;3;37;no;0;services;feb;-1
1260;no;single;5;secondary;unknown;-56;cellular;no;119;no;10;33;yes;0;services;jul;-1
1261;yes;married;2;primary;unknown;1;telephone;no;80;no;22;30;yes;0;blue-collar;jul;-1
1262;yes;married;2;primary;other;-98;cellular;no;112;no;12;43;yes;3;blue-collar;may;330
1263;yes;married;2;secondary;unknown;4667;unknown;no;130;no;19;49;no;0;technician;may;-1
1264;yes;married;3;primary;unknown;541;cellular;no;237;no;3;54;no;0;unemployed;feb;-1
1265;no;married;8;tertiary;unknown;7744;cellular;no;377;no;26;31;no;0;unemployed;aug;-1
1267;yes;married;3;secondary;unknown;-129;cellular;no;121;no;29;36;no;0;unemployed;jul;-1
1268;no;married;5;secondary;unknown;0;cellular;no;127;no;15;30;no;0;admin.;jul;-1
1270;yes;married;1;secondary;unknown;122;unknown;no;107;no;16;30;no;0;admin.;may;-1
1271;yes;married;2;secondary;unknown;673;unknown;no;610;no;20;30;no;0;blue-collar;may;-1
1272;no;divorced;4;secondary;unknown;0;cellular;no;124;no;25;35;no;0;technician;aug;-1
1273;yes;divorced;1;secondary;unknown;411;unknown;no;216;no;8;33;no;0;services;may;-1
1274;yes;divorced;4;primary;unknown;-97;cellular;no;747;no;31;43;yes;0;blue-collar;jul;-1
1275;yes;married;1;secondary;other;-217;cellular;no;313;no;11;41;no;3;blue-collar;may;349
1278;yes;married;1;secondary;unknown;-932;unknown;no;799;no;7;54;no;0;blue-collar;may;-1
1279;yes;married;1;tertiary;failure;913;cellular;no;883;no;23;32;no;4;management;jun;674
1280;yes;single;1;tertiary;unknown;236;unknown;no;197;no;16;30;no;0;technician;may;-1
1281;yes;married;2;primary;unknown;0;cellular;no;271;no;11;40;no;0;entrepreneur;jul;-1
1282;no;married;2;primary;unknown;2581;unknown;no;221;no;12;30;no;0;blue-collar;may;-1
1283;no;married;3;secondary;unknown;639;cellular;no;243;no;14;27;yes;0;admin.;jul;-1
1284;yes;married;1;primary;unknown;849;unknown;no;72;no;15;41;no;0;blue-collar;may;-1
1285;yes;married;2;secondary;unknown;386;cellular;no;155;no;2;54;no;0;services;aug;-1
1286;yes;single;2;tertiary;unknown;1218;telephone;no;70;no;28;32;no;0;management;jan;-1
1288;yes;married;2;secondary;unknown;-921;unknown;no;115;no;26;42;no;0;blue-collar;may;-1
1289;no;married;2;primary;unknown;607;unknown;no;29;no;20;48;no;0;admin.;jun;-1
1290;yes;married;2;primary;unknown;79;cellular;no;406;no;14;34;no;0;blue-collar;may;-1
1291;yes;divorced;3;secondary;unknown;61;cellular;no;113;no;25;55;yes;0;technician;aug;-1
1292;no;married;2;secondary;unknown;1091;telephone;no;47;no;30;49;no;0;technician;jul;-1
1293;no;divorced;2;tertiary;unknown;743;unknown;no;36;no;5;46;no;0;management;jun;-1
1294;yes;married;2;unknown;unknown;209;unknown;no;135;no;6;47;no;0;entrepreneur;may;-1
1295;no;single;2;tertiary;unknown;172;cellular;no;67;no;3;24;no;0;management;jul;-1
1296;no;married;1;secondary;unknown;2;unknown;no;684;no;16;58;no;0;entrepreneur;jun;-1
1298;yes;single;3;secondary;unknown;1116;cellular;no;170;no;2;25;no;0;student;mar;-1
1299;no;married;3;secondary;unknown;-55;unknown;no;150;no;17;49;no;0;blue-collar;jun;-1
1301;yes;single;16;tertiary;unknown;329;unknown;no;122;no;6;30;no;0;management;jun;-1
1302;yes;married;1;secondary;unknown;494;unknown;no;724;no;26;46;no;0;blue-collar;may;-1
1304;no;married;2;tertiary;unknown;2685;unknown;no;187;no;20;37;no;0;entrepreneur;jun;-1
1305;yes;married;4;primary;unknown;-14;unknown;no;179;no;19;44;yes;0;blue-collar;may;-1
1306;no;married;3;secondary;unknown;5673;cellular;no;357;no;4;49;yes;0;services;aug;-1
1307;no;married;1;secondary;unknown;1459;unknown;no;82;no;5;41;no;0;blue-collar;jun;-1
1308;no;married;15;tertiary;unknown;0;telephone;no;176;no;26;48;no;0;technician;aug;-1
1309;yes;married;1;secondary;failure;625;cellular;no;424;no;7;31;no;1;management;apr;138
1310;no;married;1;unknown;unknown;0;unknown;no;115;no;18;37;no;0;student;jun;-1
1311;yes;married;2;secondary;failure;867;cellular;no;177;no;3;51;no;3;services;feb;211
1313;yes;single;1;tertiary;unknown;151;unknown;no;118;no;6;32;no;0;management;may;-1
1314;yes;married;7;primary;unknown;-583;unknown;no;25;yes;2;48;no;0;services;jun;-1
1315;no;married;1;tertiary;unknown;1784;unknown;no;753;no;12;49;no;0;blue-collar;jun;-1
1316;yes;married;1;tertiary;unknown;3134;cellular;no;124;no;17;30;no;0;management;jul;-1
1317;yes;single;2;secondary;unknown;49;cellular;no;208;no;30;27;no;0;self-employed;jan;-1
1318;no;married;4;secondary;unknown;-346;cellular;no;136;no;13;34;no;0;technician;aug;-1
1320;no;married;2;tertiary;failure;60;telephone;no;376;no;7;48;no;7;management;may;339
1321;no;married;1;secondary;unknown;17;cellular;no;78;no;4;40;no;0;services;jun;-1
1322;yes;married;1;secondary;unknown;2008;cellular;no;354;no;18;38;no;0;blue-collar;nov;-1
1323;yes;married;1;primary;failure;91;cellular;no;29;no;6;46;no;2;blue-collar;may;356
1324;yes;married;1;tertiary;failure;171;cellular;no;209;no;19;41;no;4;entrepreneur;nov;191
1325;yes;single;1;tertiary;unknown;1027;cellular;no;433;no;14;28;no;0;management;may;-1
1326;yes;married;2;unknown;unknown;5801;unknown;no;147;no;29;51;no;0;services;may;-1
1327;yes;divorced;2;primary;failure;142;telephone;no;41;no;11;33;no;5;blue-collar;may;300
1328;no;single;1;tertiary;unknown;205;unknown;no;111;no;26;26;no;0;management;may;-1
1329;no;single;2;secondary;unknown;852;cellular;no;108;no;14;34;no;0;admin.;apr;-1
1330;yes;married;2;secondary;unknown;-584;cellular;no;411;yes;7;27;no;0;blue-collar;may;-1
1331;no;married;2;secondary;unknown;97;cellular;no;108;no;10;42;no;0;self-employed;jul;-1
1333;yes;single;2;secondary;unknown;628;unknown;no;1083;no;12;31;no;0;technician;may;-1
1335;no;married;1;primary;unknown;1564;unknown;no;57;no;17;39;no;0;blue-collar;jun;-1
1336;yes;single;5;secondary;unknown;856;cellular;no;95;no;30;26;yes;0;blue-collar;jul;-1
1337;no;single;2;tertiary;failure;1509;cellular;no;144;no;15;40;no;1;management;mar;124
1338;no;married;1;secondary;unknown;-888;cellular;no;135;no;16;52;no;0;services;jul;-1
1339;no;single;2;tertiary;unknown;226;cellular;no;176;no;15;40;no;0;technician;jan;-1
1340;no;married;5;secondary;unknown;127;cellular;no;524;no;7;48;yes;0;technician;aug;-1
1341;yes;married;1;secondary;unknown;413;unknown;no;65;no;13;31;no;0;services;may;-1
1345;yes;divorced;2;tertiary;failure;69;cellular;no;503;no;6;40;no;2;management;may;280
1346;yes;married;1;secondary;failure;1499;cellular;no;186;no;13;34;no;2;admin.;apr;327
1347;yes;married;2;tertiary;unknown;751;unknown;no;121;no;23;29;no;0;self-employed;may;-1
1348;no;married;2;tertiary;unknown;61;cellular;no;452;no;19;36;yes;0;management;aug;-1
1350;yes;divorced;2;primary;unknown;2923;unknown;no;104;no;15;55;no;0;services;may;-1
1351;no;divorced;3;tertiary;unknown;99;cellular;no;24;no;29;43;no;0;management;jan;-1
